n_nodes,actual_density,max_in_degree,alpha,sample_size,kl,fit_time_s,fit_rss_delta_bytes,total_stored_params,total_memory_bytes
5,0.4,2,1.0,600,35.646529048655026,0.008082199999989825,4096,18,144
5,0.4,2,1.0,1000,24.273919915126143,0.008205299999872295,20480,18,144
5,0.4,2,1.0,1400,24.183630584252498,0.009827800000039133,8192,18,144
5,0.4,2,1.0,600,39.86583825828024,0.007820300000048519,0,18,144
5,0.4,2,1.0,1000,39.94829066345951,0.007245199999942997,0,18,144
5,0.4,2,1.0,1400,39.89386491944834,0.0077157000000624976,0,18,144
5,0.4,2,1.0,600,23.417124243569535,0.00779699999998229,0,18,144
5,0.4,2,1.0,1000,23.808684199123757,0.007638399999905232,0,18,144
5,0.4,2,1.0,1400,23.4777054633987,0.007086500000013984,0,18,144
5,0.4,2,1.0,600,42.31326667718777,0.007912499999974898,0,18,144
5,0.4,2,1.0,1000,42.139602610544735,0.007660299999997733,0,18,144
5,0.4,2,1.0,1400,42.17445045436399,0.007707999999865933,0,18,144
5,0.4,2,5.0,600,35.76015358230133,0.007894099999930404,0,18,144
5,0.4,2,5.0,1000,29.592627999693864,0.008542799999986528,0,18,144
5,0.4,2,5.0,1400,29.68885162243153,0.007458299999825613,0,18,144
5,0.4,2,5.0,600,42.58288273283101,0.008150500000056127,0,18,144
5,0.4,2,5.0,1000,39.26105181037846,0.007855000000063228,0,18,144
5,0.4,2,5.0,1400,39.2301329318469,0.008032500000126674,0,18,144
5,0.4,2,5.0,600,25.776046416062147,0.007557200000064768,0,18,144
5,0.4,2,5.0,1000,25.97712084271521,0.00931359999981396,0,18,144
5,0.4,2,5.0,1400,25.83523314299972,0.0074178999998366635,0,18,144
5,0.4,2,5.0,600,24.209162757926148,0.010185999999976048,0,18,144
5,0.4,2,5.0,1000,24.453274333581476,0.008069900000009511,0,18,144
5,0.4,2,5.0,1400,24.314143968707555,0.007458799999994881,0,18,144
5,0.4,2,5.0,600,53.67767634758469,0.00726440000016737,0,18,144
5,0.4,2,5.0,1000,53.69391315250951,0.0073985999999877095,0,18,144
5,0.4,2,5.0,1400,53.54025488115226,0.007974000000103842,0,18,144
5,0.4,2,0.1,600,0.015771029387340322,0.007718000000068059,0,18,144
5,0.4,2,0.1,1000,0.008809965005876734,0.008292499999924985,0,18,144
5,0.4,2,0.1,1400,0.008772913489422659,0.007517300000017713,0,18,144
5,0.4,2,0.1,600,0.04351106504119008,0.009063599999990402,0,18,144
5,0.4,2,0.1,1000,0.01143669052602517,0.007432399999970585,0,18,144
5,0.4,2,0.1,1400,0.011653172340453433,0.007704699999976583,0,18,144
5,0.4,2,0.1,600,0.003473935870920131,0.007350599999881524,0,18,144
5,0.4,2,0.1,1000,0.004249235150978117,0.010344900000063717,0,18,144
5,0.4,2,0.1,1400,0.003979991096813508,0.009231699999872944,0,18,144
5,0.4,2,0.1,600,0.013480327363938048,0.008263000000169995,0,18,144
5,0.4,2,0.1,1000,0.0056303717329207435,0.007785499999954482,0,18,144
5,0.4,2,0.1,1400,0.002979452657439626,0.007310399999823858,0,18,144
5,0.4,2,0.1,600,0.009579591169756435,0.0072909999998955755,0,18,144
5,0.4,2,0.1,1000,0.007633075042662661,0.008078800000021147,0,18,144
5,0.4,2,0.1,1400,0.008563155361315945,0.00814459999992323,0,18,144
5,0.4,2,0.5,600,42.52591335971083,0.008685799999966548,0,18,144
5,0.4,2,0.5,1000,23.398322005552934,0.00732319999997344,0,18,144
5,0.4,2,0.5,1400,23.69887553163282,0.007484799999929237,0,18,144
5,0.4,2,0.5,600,35.96940349154163,0.008125999999947453,0,18,144
5,0.4,2,0.5,1000,31.860562444998983,0.00850070000001324,4096,18,144
5,0.4,2,0.5,1400,31.826438530667826,0.008005899999943722,0,18,144
5,0.4,2,0.5,600,32.33484980370442,0.00801450000017212,0,18,144
5,0.4,2,0.5,1000,32.617618159810014,0.007309300000088115,0,18,144
5,0.4,2,0.5,1400,32.427462562648984,0.007818699999916134,0,18,144
5,0.4,2,0.5,600,18.20085620674579,0.007578899999998612,0,18,144
5,0.4,2,0.5,1000,18.229201055357418,0.008426999999983309,0,18,144
5,0.4,2,0.5,1400,18.142284695801578,0.007986000000073545,0,18,144
5,0.4,2,0.5,600,51.63459327409044,0.00808910000000651,0,18,144
5,0.4,2,0.5,1000,51.680982968152655,0.007463700000016615,0,18,144
5,0.4,2,0.5,1400,51.623146816444475,0.00761289999991277,0,18,144
5,0.4,2,1.0,600,49.64788470438868,0.010137999999869862,0,18,144
5,0.4,2,1.0,1000,42.882027313924894,0.008585199999970428,0,18,144
5,0.4,2,1.0,1400,43.002479304850965,0.008466100000077859,0,18,144
5,0.4,2,1.0,600,35.646529048655026,0.008490400000027876,0,18,144
5,0.4,2,1.0,1000,24.273919915126143,0.008218499999884443,0,18,144
5,0.4,2,1.0,1400,24.183630584252498,0.008120700000063152,0,18,144
5,0.4,2,1.0,600,39.86583825828024,0.008000199999969482,0,18,144
