n_nodes,actual_density,max_in_degree,alpha,kl,sample_size
10,0.28888888888888886,2,5.0,0.06480878963441512,200
10,0.28888888888888886,2,5.0,0.017465627144887592,600
10,0.28888888888888886,2,5.0,0.017183666655386516,1000
10,0.28888888888888886,2,5.0,0.009719973564911081,1400
10,0.28888888888888886,2,5.0,0.06786126945599161,200
10,0.28888888888888886,2,5.0,0.029482803502436466,600
10,0.28888888888888886,2,5.0,0.019382662920475698,1000
10,0.28888888888888886,2,5.0,0.014834438421789546,1400
10,0.28888888888888886,2,5.0,0.06399219600151422,200
10,0.28888888888888886,2,5.0,0.027336422298458733,600
10,0.28888888888888886,2,5.0,0.010866154657902437,1000
10,0.28888888888888886,2,5.0,0.009933856293886196,1400
10,0.2,5,0.1,1.6922488485645375,200
10,0.2,5,0.1,1.6773271546065416,600
10,0.2,5,0.1,1.618806652973807,1000
10,0.2,5,0.1,1.5928763225675853,1400
10,0.2,5,0.1,0.8190710410294911,200
10,0.2,5,0.1,0.7983799979381249,600
10,0.2,5,0.1,0.7953156001628001,1000
10,0.2,5,0.1,0.7939489413452686,1400
10,0.2,5,0.1,1.2362710543117559,200
10,0.2,5,0.1,1.0497960218255544,600
10,0.2,5,0.1,1.0755981475781309,1000
10,0.2,5,0.1,1.0676076871817934,1400
10,0.2,5,0.1,0.490410081490991,200
10,0.2,5,0.1,0.40054257653665604,600
10,0.2,5,0.1,0.4013894665241138,1000
10,0.2,5,0.1,0.39337577442014704,1400
10,0.2,5,0.1,0.8520284979544507,200
10,0.2,5,0.1,0.7609676163756567,600
10,0.2,5,0.1,0.7465034806579504,1000
10,0.2,5,0.1,0.7059289071227234,1400
10,0.2,5,0.5,0.06899953495985899,200
10,0.2,5,0.5,0.030103793651894153,600
10,0.2,5,0.5,0.019367861357822723,1000
10,0.2,5,0.5,0.00865443094334882,1400
10,0.2,5,0.5,0.07044850356802707,200
10,0.2,5,0.5,0.010747180970388485,600
10,0.2,5,0.5,0.004770752308331294,1000
10,0.2,5,0.5,0.0068198999157025805,1400
10,0.2,5,0.5,0.25718482561387057,200
10,0.2,5,0.5,0.25454896947759553,600
10,0.2,5,0.5,0.24508181759262962,1000
10,0.2,5,0.5,0.23662900182810712,1400
10,0.2,5,0.5,0.17140767659350167,200
10,0.2,5,0.5,0.06604234592714776,600
10,0.2,5,0.5,0.1168309308748277,1000
10,0.2,5,0.5,0.07047456406676976,1400
10,0.2,5,0.5,0.05768448353560299,200
10,0.2,5,0.5,0.029383327492577094,600
