estimator,hidden_dims,activation,dag_idx,n_nodes,in_degree,alpha,sample_size,n_fit,density,kl,kl_se,fit_time_s,fit_rss_delta_bytes,stored_params,free_params,memory_bytes,memory_bytes_native,stop_epoch_mean,frac_at_ceiling
nn_linear,[],linear,1,5,8,0.5,1000,800,1.0,0.0880215910299566,0.0017087683811497,3.718911599999956,-4739072,52,52,416,208,,
nn_32_relu,[32],ReLU,1,5,8,0.5,1000,800,1.0,0.0374219840746758,0.0010368893070541,2.0526608999998643,-1257472,1162,1162,9296,4648,,
mle,,,1,5,8,0.5,1400,1120,1.0,0.0328737407410154,0.0060125703430495,0.0117920999998659,0,62,31,496,496,,
nn_linear,[],linear,1,5,8,0.5,1400,1120,1.0,0.06496372034133,0.0017218465996383,4.733223499999895,-3993600,52,52,416,208,,
nn_32_relu,[32],ReLU,1,5,8,0.5,1400,1120,1.0,0.0121433894181622,0.0006270977362199,5.618280299999924,-1462272,1162,1162,9296,4648,,
mle,,,2,5,8,0.5,600,480,1.0,0.1556345478983246,0.0165252500948651,0.0127830000001267,0,62,31,496,496,,
nn_linear,[],linear,2,5,8,0.5,600,480,1.0,0.346358271284585,0.002798143427059,2.5352797000000464,-4001792,52,52,416,208,,
nn_32_relu,[32],ReLU,2,5,8,0.5,600,480,1.0,0.0326966711759327,0.0023684997294771,3.2437568000000283,-1560576,1162,1162,9296,4648,,
mle,,,2,5,8,0.5,1000,800,1.0,0.1071577130116864,0.0113188189383846,0.0123954000000594,0,62,31,496,496,,
nn_linear,[],linear,2,5,8,0.5,1000,800,1.0,0.1132131641994672,0.0029936165936749,4.257784199999833,-5365760,52,52,416,208,,
nn_32_relu,[32],ReLU,2,5,8,0.5,1000,800,1.0,0.0260306579499867,0.0008141453118695,3.2041885000001,-1384448,1162,1162,9296,4648,,
mle,,,2,5,8,0.5,1400,1120,1.0,0.0679619740181628,0.0091873456827442,0.0107673999998496,0,62,31,496,496,,
nn_linear,[],linear,2,5,8,0.5,1400,1120,1.0,0.1089138696065101,0.0033253475581611,5.062109100000043,-4227072,52,52,416,208,,
nn_32_relu,[32],ReLU,2,5,8,0.5,1400,1120,1.0,0.0250027212718041,0.0008973694168783,3.5678791000000274,-1527808,1162,1162,9296,4648,,
mle,,,3,5,8,0.5,600,480,1.0,0.1958582388838687,0.0068675357418943,0.0123747999998613,0,62,31,496,496,,
nn_linear,[],linear,3,5,8,0.5,600,480,1.0,0.1775476830216095,0.0043543797691684,2.937149899999895,-5251072,52,52,416,208,,
nn_32_relu,[32],ReLU,3,5,8,0.5,600,480,1.0,0.040454473481133,0.0029966550689965,2.336801800000103,-2093056,1162,1162,9296,4648,,
mle,,,3,5,8,0.5,1000,800,1.0,0.124158785787202,0.0067022408968472,0.0123146999999335,0,62,31,496,496,,
nn_linear,[],linear,3,5,8,0.5,1000,800,1.0,0.1459117499908948,0.0037591678927783,2.838246799999979,-5353472,52,52,416,208,,
nn_32_relu,[32],ReLU,3,5,8,0.5,1000,800,1.0,0.0293395482537004,0.002498848340264,3.5273482999998578,-1323008,1162,1162,9296,4648,,
mle,,,3,5,8,0.5,1400,1120,1.0,0.1021401591761692,0.0064568537962137,0.0122847000000092,0,62,31,496,496,,
nn_linear,[],linear,3,5,8,0.5,1400,1120,1.0,0.149236838078525,0.0043140201900587,4.244006899999931,-2342912,52,52,416,208,,
nn_32_relu,[32],ReLU,3,5,8,0.5,1400,1120,1.0,0.0562583645997744,0.0027362343550503,2.218161499999951,-1892352,1162,1162,9296,4648,,
mle,,,4,5,8,0.5,600,480,1.0,0.1482550855256769,0.0087559289969309,0.011207000000013,0,62,31,496,496,,
nn_linear,[],linear,4,5,8,0.5,600,480,1.0,0.1678990660824737,0.002092370890345,2.032839700000068,-5705728,52,52,416,208,,
nn_32_relu,[32],ReLU,4,5,8,0.5,600,480,1.0,0.021478009669468,0.000629550782119,1.7743006000000603,-2158592,1162,1162,9296,4648,,
mle,,,4,5,8,0.5,1000,800,1.0,0.0623612899723628,0.0051213784131117,0.0111414999998942,0,62,31,496,496,,
nn_linear,[],linear,4,5,8,0.5,1000,800,1.0,0.1274187373841991,0.0012922647545358,2.7119486999999936,-3444736,52,52,416,208,,
nn_32_relu,[32],ReLU,4,5,8,0.5,1000,800,1.0,0.0354576737412384,0.0006458821507113,1.7731384000001071,-1966080,1162,1162,9296,4648,,
mle,,,4,5,8,0.5,1400,1120,1.0,0.0245699052295332,0.0035407985131352,0.0131209999999555,0,62,31,496,496,,
nn_linear,[],linear,4,5,8,0.5,1400,1120,1.0,0.1015144994811129,0.0015990745239435,3.815243999999893,-2490368,52,52,416,208,,
nn_32_relu,[32],ReLU,4,5,8,0.5,1400,1120,1.0,0.011965060557656,0.0003808516330316,3.317836400000033,-2080768,1162,1162,9296,4648,,
mle,,,5,5,8,0.5,600,480,1.0,0.3113437985506102,0.0100727471672712,0.0115218999999342,0,62,31,496,496,,
nn_linear,[],linear,5,5,8,0.5,600,480,1.0,0.40131838018491,0.0051201583943613,1.8605312999998205,-4485120,52,52,416,208,,
nn_32_relu,[32],ReLU,5,5,8,0.5,600,480,1.0,0.0641644570473381,0.0016556163377685,1.530981699999984,-2035712,1162,1162,9296,4648,,
mle,,,5,5,8,0.5,1000,800,1.0,0.1490626768288058,0.0087941920290545,0.0097309999998742,0,62,31,496,496,,
nn_linear,[],linear,5,5,8,0.5,1000,800,1.0,0.3759264117580437,0.0056749628409664,3.079664800000046,-4931584,52,52,416,208,,
nn_32_relu,[32],ReLU,5,5,8,0.5,1000,800,1.0,0.0205682255174806,0.000829107215185,2.512192099999993,-1638400,1162,1162,9296,4648,,
mle,,,5,5,8,0.5,1400,1120,1.0,0.0925150421966102,0.0065578033125021,0.0112834999999904,0,62,31,496,496,,
nn_linear,[],linear,5,5,8,0.5,1400,1120,1.0,0.381814730173633,0.0046225625589514,2.878174799999897,-2342912,52,52,416,208,,
nn_32_relu,[32],ReLU,5,5,8,0.5,1400,1120,1.0,0.0120072907121113,0.0006560797382447,3.245846700000129,-2031616,1162,1162,9296,4648,,
mle,,,1,5,10,0.5,600,480,1.0,0.1074526633980095,0.0071394817810056,0.0126588000000538,0,62,31,496,496,,
nn_linear,[],linear,1,5,10,0.5,600,480,1.0,0.3070807412664375,0.0034004631207085,2.236372599999868,-5087232,52,52,416,208,,
nn_32_relu,[32],ReLU,1,5,10,0.5,600,480,1.0,0.02827553514377,0.0007863879543554,1.998488899999984,-1908736,1162,1162,9296,4648,,
mle,,,1,5,10,0.5,1000,800,1.0,0.0977432145604474,0.0070622492906219,0.0100777999998626,0,62,31,496,496,,
nn_linear,[],linear,1,5,10,0.5,1000,800,1.0,0.1802523357516693,0.0037658573399196,2.9105091999999786,-4612096,52,52,416,208,,
nn_32_relu,[32],ReLU,1,5,10,0.5,1000,800,1.0,0.0176532567850118,0.0006090122640967,3.024996500000043,-1355776,1162,1162,9296,4648,,
mle,,,1,5,10,0.5,1400,1120,1.0,0.0291671694005227,0.0009779865433271,0.0136509999999816,0,62,31,496,496,,
nn_linear,[],linear,1,5,10,0.5,1400,1120,1.0,0.1851959431740231,0.0033962335444142,4.777029399999947,-4075520,52,52,416,208,,
nn_32_relu,[32],ReLU,1,5,10,0.5,1400,1120,1.0,0.0107308706079391,0.0006429305242169,4.4330165999999736,-1449984,1162,1162,9296,4648,,
