dag_idx,n_nodes,in_degree,alpha,sample_size,kl,density,fit_time_s,fit_rss_delta_bytes,total_stored_params,total_memory_bytes
3,5,10,0.1,1000,0.006630277745376414,1.0,0.02851041299800272,0,62,496
3,5,10,0.1,1400,0.005765918313162917,1.0,0.02748936100033461,12288,62,496
4,5,10,0.1,600,0.037343507322304084,1.0,0.03549031600050512,0,62,496
4,5,10,0.1,1000,0.034884946907410355,1.0,0.027401117000408703,12288,62,496
4,5,10,0.1,1400,0.01051113401967299,1.0,0.02822019799714326,8192,62,496
5,5,10,0.1,600,0.0013185427493230084,1.0,0.025248530000681058,0,62,496
5,5,10,0.1,1000,0.00021436218552597298,1.0,0.02527135199852637,12288,62,496
5,5,10,0.1,1400,9.308279162172324e-05,1.0,0.026397424000606406,24576,62,496
1,5,10,0.5,600,0.09090159343756365,1.0,0.02960897600132739,4096,62,496
1,5,10,0.5,1000,0.08954086719154743,1.0,0.027369565999833867,12288,62,496
1,5,10,0.5,1400,0.023585296170841253,1.0,0.02764920900153811,16384,62,496
2,5,10,0.5,600,0.10188010944367408,1.0,0.028533582997624762,8192,62,496
2,5,10,0.5,1000,0.09058265397340867,1.0,0.027907649000553647,4096,62,496
2,5,10,0.5,1400,0.07890972307464399,1.0,0.027175649000128033,8192,62,496
3,5,10,0.5,600,0.1373236613635174,1.0,0.02776986499884515,4096,62,496
3,5,10,0.5,1000,0.08349368008000949,1.0,0.02839942300124676,4096,62,496
3,5,10,0.5,1400,0.08087073133421877,1.0,0.027308870001434116,8192,62,496
4,5,10,0.5,600,0.13188033291677795,1.0,0.027685308999934932,8192,62,496
4,5,10,0.5,1000,0.12851360854439864,1.0,0.02715689700198709,4096,62,496
4,5,10,0.5,1400,0.12614820552377481,1.0,0.028502042001491645,4096,62,496
5,5,10,0.5,600,0.17775112499680634,1.0,0.02958098599992809,4096,62,496
5,5,10,0.5,1000,0.09228722046515574,1.0,0.027675805002218112,12288,62,496
5,5,10,0.5,1400,0.07009254067904687,1.0,0.027281201000732835,20480,62,496
1,5,10,1.0,600,0.18671347362787274,1.0,0.027894515998923453,0,62,496
1,5,10,1.0,1000,0.10041531434919894,1.0,0.028648667001107242,0,62,496
1,5,10,1.0,1400,0.036667981056090135,1.0,0.028978211001231102,8192,62,496
2,5,10,1.0,600,0.13187589434177066,1.0,0.02861588800078607,0,62,496
2,5,10,1.0,1000,0.10999453785900862,1.0,0.026644220000889618,12288,62,496
2,5,10,1.0,1400,0.10505861347460123,1.0,0.027411336999648483,12288,62,496
3,5,10,1.0,600,0.4043628717749502,1.0,0.027107251000416,4096,62,496
3,5,10,1.0,1000,0.0915838000528194,1.0,0.026351370001066243,0,62,496
3,5,10,1.0,1400,0.021518381694351735,1.0,0.02519102299993392,12288,62,496
4,5,10,1.0,600,0.15544680151031412,1.0,0.02795049199994537,0,62,496
4,5,10,1.0,1000,0.06891048938627561,1.0,0.02750993899826426,4096,62,496
4,5,10,1.0,1400,0.02049988743448665,1.0,0.027677161000610795,12288,62,496
5,5,10,1.0,600,0.06209474441593369,1.0,0.027299110999592813,4096,62,496
5,5,10,1.0,1000,0.05888658692922495,1.0,0.027209292999032186,4096,62,496
5,5,10,1.0,1400,0.041159243550533936,1.0,0.02684251499886159,12288,62,496
1,10,2,0.1,600,0.01999882065303995,0.37777777777777777,0.05173899100191193,8192,70,560
1,10,2,0.1,1000,0.005121332116809849,0.37777777777777777,0.051523673999327,40960,70,560
1,10,2,0.1,1400,0.002768391699136173,0.37777777777777777,0.08641492999959155,36864,70,560
2,10,2,0.1,600,0.0845026365518262,0.37777777777777777,0.05172469199897023,4096,70,560
2,10,2,0.1,1000,0.08504188612218895,0.37777777777777777,0.05255769500217866,24576,70,560
2,10,2,0.1,1400,0.08321633380484784,0.37777777777777777,0.05240777500148397,32768,70,560
3,10,2,0.1,600,0.03308418355042891,0.37777777777777777,0.053836423001484945,4096,70,560
3,10,2,0.1,1000,0.03397247927750036,0.37777777777777777,0.07119455999782076,20480,70,560
3,10,2,0.1,1400,0.03130181749751712,0.37777777777777777,0.1343705850013066,36864,70,560
4,10,2,0.1,600,0.09364735676355383,0.37777777777777777,0.052589729999453994,12288,70,560
4,10,2,0.1,1000,0.08388121359196284,0.37777777777777777,0.05469903599805548,28672,70,560
4,10,2,0.1,1400,0.03234974047062121,0.37777777777777777,0.05315152600087458,32768,70,560
5,10,2,0.1,600,0.017819195672492995,0.37777777777777777,0.04819200099882437,0,70,560
5,10,2,0.1,1000,0.015584263020588992,0.37777777777777777,0.04723882100006449,24576,70,560
5,10,2,0.1,1400,0.015667284769979258,0.37777777777777777,0.04714265599977807,36864,70,560
1,10,2,0.5,600,0.2241280097154979,0.37777777777777777,0.051109838001138996,4096,70,560
